0,Serotonin
0,receptor
0,2A
0,(
0,HTR2A
0,)
0,gene
0,polymorphism
0,predicts
0,treatment
0,response
0,to
0,venlafaxine
0,XR
0,in
0,generalized
0,anxiety
0,disorder
0,.
0,Generalized
0,anxiety
0,disorder
0,(
0,GAD
0,)
0,is
0,a
0,chronic
0,psychiatric
0,disorder
0,with
0,significant
0,morbidity
0,and
0,mortality
0,.
1,Antidepressant
1,drugs
1,are
1,the
1,preferred
1,choice
1,for
1,treatment
1,however
1,","
1,treatment
1,response
1,is
1,often
1,variable
1,.
2,Several
2,studies
2,in
2,major
2,depression
2,have
2,implicated
2,a
2,role
2,of
2,the
2,serotonin
2,receptor
2,gene
2,(
2,HTR2A
2,)
2,in
2,treatment
2,response
2,to
2,antidepressants
2,.
3,We
3,tested
3,the
3,hypothesis
3,that
3,the
3,genetic
3,polymorphism
3,rs7997012
3,in
3,the
3,HTR2A
3,gene
3,predicts
3,treatment
3,outcome
3,in
3,GAD
3,patients
3,treated
3,with
3,venlafaxine
3,XR
3,.
4,Treatment
4,response
4,was
4,assessed
4,in
4,156
4,patients
4,that
4,participated
4,in
4,a
4,6-month
4,open
4,-
4,label
4,clinical
4,trial
4,of
4,venlafaxine
4,XR
4,for
4,GAD
4,.
5,Primary
5,analysis
5,included
5,Hamilton
5,Anxiety
5,Scale
5,(
5,HAM-A
5,)
5,reduction
5,at
5,6
5,months
5,.
6,Secondary
6,outcome
6,measure
6,was
6,the
6,Clinical
6,Global
6,Impression
6,of
6,Improvement
6,(
6,CGI-I
6,)
6,score
6,at
6,6
6,months
6,.
7,Genotype
7,and
7,allele
7,frequencies
7,were
7,compared
7,between
7,groups
7,using
7,χ(2)
7,contingency
7,analysis
7,.
8,The
8,frequency
8,of
8,the
8,G-allele
8,differed
8,significantly
8,between
8,responders
8,(
8,70%
8,)
8,and
8,nonresponders
8,(
8,56%
8,)
8,at
8,6
8,months
8,(
8,P=0.05
8,)
8,using
8,the
8,HAM-A
8,scale
8,as
8,outcome
8,measure
8,.
9,Similarly
9,","
9,using
9,the
9,CGI-I
9,as
9,outcome
9,","
9,the
9,G-allele
9,was
9,significantly
9,associated
9,with
9,improvement
9,(
9,P=0.01
9,)
9,.
10,Assuming
10,a
10,dominant
10,effect
10,of
10,the
10,G-allele
10,","
10,improvement
10,differed
10,significantly
10,between
10,groups
10,(
10,P=0.001
10,","
10,odds
10,ratio=4.72
10,)
10,.
11,Similar
11,trends
11,were
11,observed
11,for
11,remission
11,although
11,not
11,statistically
11,significant
11,.
